GTAC_scan                Target                             Total_beams        uGMRT_band          Input_file (0 for Raw, 1 for FIL)
# 48_099_20250424_190355    DGCVN_20250424_190455             160               BAND4              0
48_051_20250420_191846    J0835-4510_20250420_200314        640                BAND3               1
# 48_051_20250420_191846    J0659+1414_20250420_193524        640                BAND3               1
# 48_051_20250420_191846    J0742-2822_20250420_195714        640                BAND3               1
48_118_20250417_205359   FRB20240201A_20250417_212842       640                BAND5               0
48_118_20250417_205359   FRB20240201A_20250417_222202       640                BAND5               0
48_118_20250417_205359   FRB20240201A_20250417_231450       640                BAND5               0
48_118_20250417_205359   FRB20240201A_20250418_000705       640                BAND5               0
48_118_20250417_205359   FRB20240201A_20250418_005952       640                BAND5               0
48_116_20250418_021733   SN2004DK_20250418_041550           640                BAND3               0
48_116_20250418_021733   SN2009FI_20250418_023410           640                BAND3               0
48_116_20250418_021733   SN2009FI_20250418_032037           640                BAND3               0
48_116_20250418_021733   SN2016COI_20250418_052713          640                BAND3               0
48_116_20250418_021733   SN2016COI_20250418_061319          640                BAND3               0
48_118_20250418_161653   FRB20240201A_20250418_163220       640                BAND5               0
48_118_20250418_172051   FRB20240201A_20250418_172801       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250418_182220       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250418_191650       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250418_201108       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250418_210710       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250418_220128       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250418_225546       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250419_000227       640                BAND5               0
48_118_20250418_182115   FRB20240201A_20250419_005645       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_164132       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_173552       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_183016       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_192435       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_201952       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_211443       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_220902       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_230321       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250419_235739       640                BAND5               0
48_118_20250419_162506   FRB20240201A_20250420_005158       640                BAND5               0
48_026_20250420_144642   J0740+6620_20250420_145753         640                BAND3               0
48_026_20250420_144642   J0751+1807_20250420_153543         640                BAND3               0
48_126_20250423_044930   RSOPH_20250423_050911              640                BAND5               0
48_126_20250423_044930   RSOPH_20250423_055443              640                BAND5               0
48_126_20250423_044930   RSOPH_20250423_064011              640                BAND5               0
48_126_20250423_071025   RSOPH_20250423_071125              640                BAND5               0
48_126_20250423_071025   RSOPH_20250423_072532              640                BAND5               0
48_099_20250424_191230   DGCVN_20250424_191924              160                BAND4               0
48_099_20250424_191230   DGCVN_20250424_195648              160                BAND4               0
48_099_20250424_191230   DGCVN_20250424_203407              160                BAND4               0
48_099_20250424_191230   DGCVN_20250424_211219              160                BAND4               0
48_099_20250424_191230   DGCVN_20250424_214949              160                BAND4               0
48_099_20250424_191230   DGCVN_20250424_222707              160                BAND4               0
48_099_20250424_191230   DGCVN_20250424_230427              160                BAND4               0
48_099_20250424_191230   DGCVN_20250424_234514              160                BAND4               0
48_099_20250424_191230   DGCVN_20250425_002244              160                BAND4               0
48_099_20250424_191230   DGCVN_20250425_010008              160                BAND4               0
48_144_20250425_123812   J0139+5814_20250425_123916         160                BAND3               0
48_113_20250425_141459   AT2024WPP_20250425_143346          160                BAND3               0
48_113_20250425_141459   AT2024WPP_20250425_151939          160                BAND3               0
48_113_20250425_141459   AT2024WPP_20250425_160512          160                BAND3               0
48_060_20250425_172208   F121102A_20250425_172707           160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_183833              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_191547              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_195333              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_203052              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_210805              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_214551              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_222309              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_230055              160                BAND4               0
48_099_20250425_181618   DGCVN_20250425_233814              160                BAND4               0
